,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_hus_age,num_tot_energy_heat
1665,HH18340015,HS3401100031,2,2,2,3,2,1,1986,66,3,1,8,1,3,4,1,3,5,2,33,8618.601592
1666,HH18340009,HS3401100032,2,2,3,3,2,1,1986,66,3,1,16,1,3,4,1,3,5,2,33,5155.08
1667,HH12340004,HS3401200004,2,2,1,3,5,3,2002,138.6,4,2,8,1,3,4,2,3,5,7,17,16851.59
1668,HH12340005,HS3401200005,2,2,1,1,6,3,2002,33,1,1,7,1,3,4,1,3,5,2,17,7461.88
1669,HH12340006,HS3401200007,2,2,1,1,6,1,1978,46.2,2,1,7,2,3,3,3,2,1,4,41,13536.58
1670,HH11340023,HS3401200011,2,2,1,1,6,2,2010,33,1,1,8,4,3,3,2,3,4,3,9,5175.48
1671,HH13340050,HS3401200012,2,2,1,1,6,2,1989,82.5,3,1,15,4,3,5,6,3,3,5,30,2759.74
1672,HH17340002,HS3401200013,2,2,2,33,3,1,2017,82.5,3,2,10,3,3,4,3,3,1,7,2,9789.022212
1673,HH15340013,HS3401200014,2,2,2,21,3,5,2017,82.5,3,2,10,3,1,4,3,2,1,7,2,10043.58221
1674,HH17340003,HS3401200015,2,2,1,1,4,1,2010,33,1,1,8,1,3,4,2,2,5,1,9,2696.33
1675,HH17340004,HS3401200016,2,2,1,1,6,2,1968,52.8,1,1,8,4,3,3,2,3,2,2,51,3697.411722
1676,HH17340005,HS3401200017,2,2,1,1,6,1,1969,165,3,1,12,2,3,3,2,3,5,1,50,11361.16
1677,HH17340006,HS3401200018,2,2,1,1,6,1,1995,92.4,3,1,6,2,3,3,4,2,1,4,24,6714.92
1678,HH17340007,HS3401200019,2,2,3,13,2,1,1992,66,2,1,8,1,3,4,3,2,1,6,27,2747.22
1679,HH18340011,HS3401200036,2,2,3,26,3,4,2016,112.2,3,2,8,1,3,4,4,2,1,6,3,6528.53
1680,HH18340012,HS3401200037,2,2,3,10,3,1,2003,112.2,3,2,5,1,3,4,3,2,1,7,16,11816.89092
1681,HH18340010,HS3401200038,2,2,1,1,6,4,1994,99,3,1,25,4,3,5,1,2,3,1,25,14099.7
1682,HH13340002,HS3402000002,2,2,1,1,6,1,1992,85.8,3,1,12,4,3,3,2,3,3,1,27,12824.42
1683,HH13340003,HS3402000003,2,2,1,1,6,4,2004,99,3,2,10,2,1,3,1,3,5,1,15,16599.36
1684,HH11340001,HS3402000004,2,2,1,1,6,2,1970,72.6,3,1,10,4,3,3,2,2,3,2,49,25219.5
1685,HH13340004,HS3402000005,2,2,1,1,6,1,2003,99,3,1,18,2,3,3,2,2,3,2,16,16379.4
1686,HH13340005,HS3402000006,2,2,1,1,6,1,2004,99,3,1,16,4,1,3,1,3,5,2,15,4851.26
1687,HH13340006,HS3402000007,2,2,1,1,6,1,1982,66,2,1,17,2,1,3,1,3,5,1,37,14117.94
1688,HH13340007,HS3402000008,2,2,1,1,6,1,1994,66,3,1,15,4,3,3,2,3,3,1,25,7147.46
1689,HH13340008,HS3402000009,2,2,1,1,6,1,1995,59.4,2,1,14,4,3,3,1,3,5,1,24,15289.08
1690,HH13340009,HS3402000010,2,2,1,1,6,1,1997,99,3,1,16,4,1,3,2,3,4,2,22,4222.6
1691,HH13340010,HS3402000011,2,2,1,1,6,5,1992,99,3,2,12,2,3,3,1,3,5,1,27,11966.62
1692,HH17340008,HS3403000002,2,2,2,2,3,1,2014,26.4,1,1,3,4,3,3,2,2,3,4,5,4268.18
